precip,snofall,snomlt,et,flo_out
5.19,0,0,1.03,1.756
6.13,0,0,1.44,1.137
4.3,0,0,0.696,1.611
8.85,0,0,0.557,1.819
0.221,0,0,1.45,1.039
9.97,0,0,1.03,1.259
0,0,0,0.929,1.003
0.538,0,0,1.55,0.785
0.178,0,0,0.947,0.697
0.139,0,0,0.743,0.638
0.139,0,0,0.327,0.603
0,0,0,0.193,0.571
2.44,0,0,0.52,0.571
0.835,0,0,1.1,0.514
6.55,0,0,0.555,0.658
0.511,0,0,1.37,0.528
12.1,0,0,0.861,1.029
1.28,0,0,1.17,0.7
1.44,0,0,1.36,0.489
19.9,0,0,0.469,1.211
22.4,0,0,0.416,3.29
1.90E-04,0,0,1.7,1.153
0.249,0,0,1.71,0.708
0,0,0,0.837,0.617
9.53E-03,0,0,1.09,0.561
6.21E-02,0,0,0.573,0.541
0,0,0,0.494,0.511
0.268,0,0,0.615,0.486
4.28,0,0,1.2,0.478
0.344,0,0,0.668,0.483
0,0,0,1.19,0.416
8.21,0,0,0.591,0.5
2.93,0,0,1.11,0.598
5.06,0,0,1.16,0.59
1.90E-04,0,0,1.36,0.444
0,0,0,1.14,0.389
0,0,0,1.7,0.351
0.773,0,0,1.92,0.325
6.44,0,0,0.734,0.383
0.443,0,0,1.1,0.385
2.65,0,0,0.774,0.354
5.47,0,0,0.535,0.491
0.916,0,0,0.591,0.39
4.72,0,0,0.864,0.456
1.90E-04,0,0,1.35,0.381
0,0,0,0.679,0.333
0,0,0,0.862,0.311
2.11,0,0,1.46,0.299
1.38,0,0,0.841,0.327
0,0,0,1.54,0.293
0,0,0,1.56,0.273
0,0,0,1.56,0.256
0,0,0,1.7,0.242
5.98,0,0,2.01,0.251
6.76,0,0,0.52,0.456
7.51,0,0,0.69,0.908
1.1,0,0,1.33,0.393
2.19,0,0,0.575,0.324
0,0,0,0.947,0.294
0,0,0,2.26,0.262
0,0,0,2.93,0.236
0,0,0,2.15,0.226
0,0,0,1.7,0.223
0,0,0,1.5,0.219
0,0,0,2.14,0.205
0,0,0,1.92,0.201
0.138,0,0,1.53,0.21
1.15,0,0,2.27,0.198
0.268,0,0,1.1,0.199
0,0,0,1.79,0.19
0,0,0,2.15,0.185
20.4,0,0,1.49,0.292
8.12,0,0,0.95,1.331
