jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
128,5,8,2002,0,0,0,1.15,1.51,0.478,2.75,13.8,6.49,10.1,9.36,0.242
129,5,9,2002,0,0,0,1.74,2.29,0.467,2.75,14,6.72,10.4,16.3,0.245
130,5,10,2002,0,0,0,1.93,2.55,0.455,2.75,14.3,6.98,10.6,21,0.248
131,5,11,2002,0,0,0,2.44,3.23,0.443,2.75,13,5.69,9.34,22.8,0.251
132,5,12,2002,6.84,0,0,2.6,3.13,0.439,2.75,13.1,5.8,9.45,21.8,0.254
133,5,13,2002,4.07,0,0,1.08,1.3,0.439,2.75,14.3,7.03,10.7,4.47,0.257
134,5,14,2002,1.09,0,0,2,2.27,0.432,2.75,13.9,6.64,10.3,10.8,0.26
135,5,15,2002,0.265,0,0,1.3,1.58,0.423,2.75,15.2,7.93,11.6,8.3,0.263
136,5,16,2002,0,0,0,3.79,4.83,0.414,2.75,19.5,12.3,15.9,26.1,0.267
137,5,17,2002,22.8,0,0,2.88,3.23,0.467,2.78,19.3,12,15.7,13.1,0.272
138,5,18,2002,2,0,0,1.74,1.98,0.458,2.81,14.2,6.92,10.6,15,0.275
139,5,19,2002,27.8,0,0,1.33,1.52,0.555,2.81,14.9,7.58,11.2,9.03,0.278
140,5,20,2002,3.77,0,0,1.16,1.35,0.549,2.81,15.5,8.23,11.9,8.4,0.281
141,5,21,2002,15.7,0,0,1.72,1.93,0.6,2.81,13.9,6.57,10.2,12.6,0.284
142,5,22,2002,2.01,0,0,1.2,1.39,0.583,2.81,14.8,7.5,11.1,6.37,0.287
143,5,23,2002,8.68,0,0,3.19,3.49,0.602,2.81,14.5,7.21,10.9,26.7,0.29
144,5,24,2002,2.72E-02,0,0,2.46,3.07,0.581,2.81,13.7,6.36,10,23.6,0.293
145,5,25,2002,13.9,0,0,2.04,2.28,0.612,2.81,13.1,5.81,9.46,11.3,0.296
146,5,26,2002,1.19,0,0,3.09,3.38,0.593,2.81,12.4,5.07,8.72,26.1,0.298
147,5,27,2002,4.58,0,0,2.84,3.12,0.586,2.81,13.5,6.25,9.9,27.6,0.301
148,5,28,2002,5.9,0,0,1.54,1.74,0.589,2.81,13.5,6.23,9.88,12.2,0.304
149,5,29,2002,7.68,0,0,2.42,2.68,0.603,2.81,13.8,6.54,10.2,22,0.307
150,5,30,2002,0,0,0,2.64,3.28,0.584,2.81,14.4,7.11,10.8,27.6,0.31
151,5,31,2002,0,0,0,2.86,3.57,0.566,2.81,14.8,7.46,11.1,24.8,0.313
152,6,1,2002,1.38,0,0,4.11,4.55,0.548,2.81,17,10.5,13.7,28.6,0.317
153,6,2,2002,11.1,0,0,1.84,2.06,0.562,2.82,16.7,10.2,13.5,12.4,0.32
154,6,3,2002,9.53E-03,0,0,1.77,2.19,0.549,2.84,13.7,7.16,10.4,14.2,0.323
155,6,4,2002,0,0,0,2.33,2.86,0.535,2.84,14.1,7.6,10.8,18.3,0.326
156,6,5,2002,4.48,0,0,2.81,3.07,0.528,2.84,14.4,7.89,11.1,23.8,0.33
157,6,6,2002,0,0,0,0.783,0.963,0.515,2.84,16.9,10.4,13.7,7.21,0.333
158,6,7,2002,2.35,0,0,0.762,0.898,0.509,2.85,15.8,9.33,12.6,5.78,0.337
159,6,8,2002,5.72,0,0,1.7,1.87,0.517,2.86,15.7,9.22,12.5,12.4,0.34
160,6,9,2002,7.56,0,0,1.97,2.15,0.53,2.86,14.3,7.83,11.1,14.9,0.344
161,6,10,2002,1.16,0,0,2.21,2.42,0.519,2.86,14.2,7.67,10.9,19,0.347
162,6,11,2002,0,0,0,3.13,3.8,0.507,2.86,14,7.54,10.8,27.8,0.35
163,6,12,2002,0.545,0,0,2,2.2,0.492,2.86,13.8,7.34,10.6,13.2,0.353
164,6,13,2002,6.58,0,0,1.46,1.62,0.496,2.86,14.7,8.16,11.4,8.54,0.356
165,6,14,2002,16.4,0,0,0.609,0.697,0.55,2.86,16.3,9.77,13,4.42,0.36
166,6,15,2002,4.84,0,0,2.92,3.13,0.553,2.87,15.8,9.34,12.6,23.4,0.363
167,6,16,2002,6.96,0,0,1.1,1.25,0.562,2.88,17,10.5,13.7,7.8,0.367
168,6,17,2002,0,0,0,2.81,3.39,0.549,2.9,17.1,10.6,13.8,19.6,0.371
169,6,18,2002,9.34E-03,0,0,3.48,4.19,0.533,2.92,16,9.52,12.8,27.3,0.374
170,6,19,2002,0,0,0,3.39,4.08,0.516,2.93,15.5,9,12.2,27.9,0.378
171,6,20,2002,2.92,0,0,3.73,3.97,0.501,2.93,15.4,8.85,12.1,26.2,0.381
172,6,21,2002,8.82,0,0,1.28,1.39,0.509,2.93,15.3,8.76,12,8.92,0.385
173,6,22,2002,0.139,0,0,1.4,1.61,0.499,2.93,15.7,9.24,12.5,9.07,0.388
174,6,23,2002,0,0,0,2.17,2.56,0.488,2.94,15.4,8.89,12.1,14.6,0.392
175,6,24,2002,0.138,0,0,2.15,2.51,0.476,2.94,15.3,8.81,12.1,17.3,0.395
176,6,25,2002,0,0,0,2.53,2.99,0.464,2.94,15.5,8.96,12.2,21.4,0.398
177,6,26,2002,0,0,0,1.1,1.34,0.452,2.94,15.3,8.8,12,7.67,0.402
178,6,27,2002,1.90E-04,0,0,1.49,1.81,0.442,2.94,15.1,8.63,11.9,7.16,0.405
179,6,28,2002,0,0,0,2.27,2.76,0.432,2.94,14.8,8.3,11.6,18.3,0.408
180,6,29,2002,2.71,0,0,1.27,1.42,0.422,2.94,14.7,8.22,11.5,8.99,0.412
181,6,30,2002,8.02,0,0,0.685,0.753,0.434,2.94,15,8.55,11.8,3.49,0.415
182,7,1,2002,11.6,0,0,1.6,1.72,0.465,2.94,14.3,7.74,11,12,0.418
