precip,snofall,snomlt,et,flo_out
4.35,0,0,2.2,1.46
11.8,0,0,1.28,1.9
11.1,0,0,1.95,2.26
1.88E-02,0,0,1.45,1.52
3.18E-02,0,0,1.67,1.08
2.07,0,0,2.83,0.772
17.8,0,0,1.74,1.56
0.379,0,0,0.965,1.03
6.91E-02,0,0,1.11,0.731
6.47,0,0,2.01,0.791
3.18E-02,0,0,0.292,0.539
4.73,0,0,0.491,0.556
8.26,0,0,1.44,1.01
17.6,0,0,1.52,1.87
1.96,0,0,1.53,1.31
0.192,0,0,1.87,0.923
9.35E-04,0,0,0.826,0.653
11.4,0,0,1.31,1.03
15.9,0,0,0.379,1.87
5.24,0,0,2.08,1.65
11.1,0,0,0.981,2.08
0.19,0,0,1.87,1.39
8.32E-02,0,0,2.03,0.986
7.75E-02,0,0,1.78,0.699
4.3,0,0,2.33,0.543
11.1,0,0,1.02,1.23
1.47,0,0,1.12,0.867
0,0,0,1.18,0.61
0,0,0,1.11,0.433
0,0,0,1.3,0.307
3.77E-02,0,0,0.464,0.218
1.06,0,0,1.07,0.16
0,0,0,1.19,0.11
5.67,0,0,1.01,0.242
19.9,0,0,0.392,1.49
18,0,0,1.1,2.36
4.13,0,0,1.16,1.78
0.76,0,0,2.16,1.25
29.1,0,0,1.72,2.69
0.224,0,0,0.589,1.75
3.55E-02,0,0,1.03,1.24
17.7,0,0,1.08,1.91
0.644,0,0,1.09,1.27
2.26,0,0,1.84,0.91
3.41,0,0,2.3,0.684
2.82,0,0,2.22,0.537
0.668,0,0,2.19,0.381
3.27E-02,0,0,1.95,0.265
0,0,0,1.37,0.188
3.27E-02,0,0,1.21,0.134
0,0,0,1.64,9.49E-02
0,0,0,0.75,6.77E-02
0.147,0,0,0.881,4.86E-02
6.34,0,0,0.655,7.08E-02
2.28,0,0,1.15,0.128
0.155,0,0,2.1,8.06E-02
6.67,0,0,1.34,0.312
1.35,0,0,0.513,0.243
0,0,0,1.18,0.166
0.147,0,0,0.541,0.117
0,0,0,0.576,8.18E-02
0.298,0,0,0.731,5.83E-02
0.547,0,0,1.75,4.14E-02
4.64,0,0,1.16,0.139
7.46,0,0,1.04,0.742
1.18,0,0,0.47,0.524
26.1,0,0,0.327,2.06
0.726,0,0,0.685,1.4
0.172,0,0,2.25,0.988
0,0,0,1.67,0.699
3.18E-02,0,0,1.62,0.494
0.481,0,0,1.52,0.353
4.09,0,0,0.96,0.372
13.3,0,0,0.595,0.945
6.78,0,0,0.487,1.08
3.95,0,0,1.15,0.954
10.4,0,0,0.51,1.38
3.4,0,0,2.46,1.06
10.7,0,0,0.396,1.48
4.84,0,0,2.01,1.34
1.88E-02,0,0,1.39,0.922
0,0,0,1.5,0.653
38.6,0,0,2.59,2.96
6.48,0,0,0.762,2.3
1.88E-02,0,0,0.818,1.59
0,0,0,1.1,1.13
0,0,0,1.45,0.802
9.37E-02,0,0,0.971,0.569
2.18,0,0,2.01,0.417
1.61,0,0,1.29,0.296
0,0,0,0.67,0.205
3.18E-02,0,0,1,0.146
0.157,0,0,1.23,0.105
4.22,0,0,1.95,0.108
5.51,0,0,0.474,0.386
11.4,0,0,0.547,1.06
0,0,0,1.32,0.706
0.157,0,0,1.24,0.501
0,0,0,1.22,0.355
0,0,0,0.532,0.25
0,0,0,0.345,0.178
3.03,0,0,1.29,0.142
4.42,0,0,0.864,0.298
7.18,0,0,1.57,0.889
0.595,0,0,0.799,0.591
13.5,0,0,0.614,1.3
3.73E-02,0,0,1.77,0.868
0,0,0,1.33,0.614
0,0,0,0.591,0.435
0,0,0,1.08,0.308
0,0,0,1.1,0.219
0,0,0,0.951,0.155
0,0,0,0.186,0.11
0,0,0,0.497,7.81E-02
0,0,0,0.688,5.57E-02
0,0,0,0.356,3.93E-02
0,0,0,0.567,2.79E-02
4.01E-02,0,0,0.907,2.02E-02
0,0,0,0.446,1.40E-02
3.73E-02,0,0,0.965,1.03E-02
0,0,0,0.848,7.83E-03
0.643,0,0,1.05,7.77E-03
0.529,0,0,0.815,6.71E-03
0,0,0,0.404,5.87E-03
0,0,0,0.257,5.50E-03
0,0,0,1.15,5.15E-03
0.379,0,0,1.29,5.03E-03
0.14,0,0,0.944,4.67E-03
14.8,0,0,1.52,0.369
9.37E-02,0,0,0.865,0.202
0.609,0,0,1.08,0.145
1.08,0,0,0.388,0.106
0,0,0,0.971,7.05E-02
1.17,0,0,0.675,5.27E-02
0,0,0,1.52,3.44E-02
0,0,0,1.3,2.39E-02
3.27E-02,0,0,0.494,1.68E-02
30.6,0,0,0.411,1.65
1.46,0,0,1.4,1.09
4.38,0,0,0.165,1.08
3.13,0,0,0.578,0.997
0.507,0,0,0.577,0.699
2.29,0,0,0.95,0.604
10.6,0,0,0.492,1.04
3.74,0,0,0.684,0.923
0.385,0,0,0.695,0.641
27.7,0,0,0.411,2.16
17.7,0,0,0.345,2.87
9.34,0,0,0.437,2.54
1.76,0,0,1.15,1.82
35.2,0,0,0.873,3.88
11.6,0,0,1.05,3.22
29.6,0,0,1.54,4.49
2.09,0,0,1.06,3.04
8.91,0,0,1.26,2.76
9.05,0,0,6.07E-04,2.49
0.427,0,0,8.24E-02,1.76
4.4,0,0,7.13E-02,1.53
18,0,0,0.258,2.41
25.6,0,0,0.211,3.58
2.81,0,0,1.03,2.58
14.7,0,0,0.659,2.76
39.2,0,0,0.171,5.01
1.22,0,0,1.09,3.26
27.7,0,0,0.695,4.05
42.7,0,0,0.149,5.75
20.2,0,0,0.186,5.07
0.142,0,0,0.583,3.48
24.3,0,0,1.02,4.25
13.5,0,0,0.56,4
14.1,0,0,0.35,3.88
10.9,0,0,0.457,3.44
0.121,0,0,0.199,2.37
3.27E-02,0,0,9.39E-02,1.69
0.436,0,0,6.89E-02,1.2
0.211,0,0,0.399,0.856
18.5,0,0,0.589,1.78
2.81,0,0,0.391,1.35
2.6,0,0,0.482,1.14
7.81,0,0,0.56,1.4
8.65,0,0,0.624,1.59
3.73E-02,0,0,0.535,1.07
8.86,0,0,0.29,1.36
4.02,0,0,0.599,1.23
13.8,0,0,0.713,1.96
12.5,0,0,0.583,2.25
2.39,0,0,3.63E-02,1.64
21.8,0,0,0.107,2.88
5.71,0,0,0.929,2.27
13.3,0,0,0.76,2.32
19.5,0,0,0.208,3.07
1.5,0,0,0.492,2.11
8.32E-02,0,0,0.203,1.49
0,0,0,0.131,1.06
0,0,0,0.385,0.755
0,0,0,0.314,0.536
0,0,0,0.386,0.383
0,0,0,0.382,0.275
2.09,0.561,0.217,0.887,0.215
2.02,0.667,0.375,0.289,0.196
0.109,5.32E-03,0.641,1.28E-02,0.22
0.38,0,0,0.147,0.176
0.614,0,0,0.266,0.166
0.27,0,0,9.73E-02,0.118
0,0,0,0.153,8.37E-02
6.91E-02,8.31E-03,2.99E-03,0.139,6.19E-02
0,0,5.32E-03,0.367,4.48E-02
0.649,0,0,7.00E-02,3.46E-02
32.1,0,0,6.98E-02,2.24
9.74,0,0,6.78E-02,2.19
14.2,0,0,0.369,2.74
11.1,0,0,0.416,2.84
18,0,0,0.146,3.13
12.9,0,0,0.114,2.97
6.86,0,0,0.208,2.49
16.3,0,0,0.401,2.72
37.6,0,0,0.115,4.4
1.66,0,0,0.205,3.01
13.5,0,0,0.355,3.21
1.92,0,0,0.13,2.26
4.7,0,0,0.14,1.97
1.45,0.789,0.789,0.338,1.44
0.668,0.346,0.125,0.109,1.02
6.91E-02,2.44E-02,0,2.45E-02,0.727
8.32E-02,8.32E-02,5.49E-02,0.272,0.518
0,0,0,0.723,0.37
3.18E-02,2.66E-03,0,0.281,0.266
7.68E-02,5.67E-03,0.283,0.337,0.22
3.18E-02,2.66E-03,2.66E-03,0.118,0.159
0.146,8.33E-03,0,5.23E-03,0.116
2.65,0,8.33E-03,0.587,0.187
1.7,0,0,0.368,0.255
16.2,0,0,0.588,1.59
0,0,0,1.01,1.04
15.5,0,0,0.88,1.75
3.87,0,0,0.712,1.38
12.7,0,0,0.574,1.91
17.3,0,0,0.168,2.65
12.8,0,0,0.431,2.86
7.02,0,0,0.133,2.45
9.95,0,0,0.505,2.29
9.11,0,0,0.419,2.36
23.1,0,0,0.35,3.36
8.89,0,0,0.769,2.81
0.946,0,0,0.178,1.96
8.43,0,0,0.391,1.92
4.23,0,0,1.05,1.55
7.37,0,0,1.25,1.47
0.21,1.36E-02,1.17E-02,0.753,1.01
18.2,10.6,0,0.857,0.827
0.875,0,10.5,0.375,1.6
1.65,0,6.78E-02,0.546,1.22
2.02,0,0,0.994,0.962
4.74,1.99,1.99,0.596,0.997
4.63,2.34,2.32,0.363,0.921
4.44,0,1.62E-02,0.261,0.906
2.14,0,0,0.266,0.741
40.5,0,0,0.356,3.86
0.119,0,0,0.478,2.36
18.6,0,0,0.677,3.16
0,0,0,0.152,2.11
0.372,1.60E-02,1.60E-02,0.135,1.5
3.73E-02,2.66E-03,2.66E-03,0.367,1.06
0,0,0,0.507,0.756
0,0,0,0.455,0.536
0,0,0,0.361,0.382
0,0,0,0.4,0.273
0,0,0,0.658,0.196
3.91E-02,3.57E-03,9.14E-04,0.6,0.142
0,0,2.66E-03,0.217,0.102
3.83E-02,0,0,0.112,7.43E-02
3.18,0,0,0.969,0.175
0.555,0,0,0.524,0.11
0,0,0,0.686,7.70E-02
2.31,0,0,0.721,0.14
2.34,0,0,0.523,0.216
5.11,0,0,0.244,0.471
18.5,0,0,0.433,1.75
16.1,0,0,0.291,2.18
3.73E-02,0,0,0.865,1.47
15.9,0,0,0.638,2.08
6.7,0,0,0.258,1.95
4.58E-02,0,0,0.842,1.34
0.537,0,0,1.16,0.952
28.6,0,0,0.796,2.88
27.6,0,0,0.448,4.11
10.6,0,0,0.604,3.5
0.534,0,0,0.961,2.42
3.43,0,0,1.15,1.9
0,0,0,0.873,1.33
0,0,0,0.494,0.948
0,0,0,0.706,0.674
0,0,0,0.679,0.48
0,0,0,0.655,0.342
3.73E-02,0,0,0.7,0.245
0,0,0,0.591,0.174
3.73E-02,0,0,0.564,0.125
9.37E-02,0,0,0.383,9.03E-02
0,0,0,0.54,6.48E-02
3.73E-02,0,0,0.688,4.67E-02
9.37E-02,0,0,0.918,3.38E-02
0,0,0,0.734,2.43E-02
0,0,0,0.295,1.72E-02
0,0,0,0.56,1.23E-02
0,0,0,0.884,9.85E-03
0,0,0,0.829,8.73E-03
0,0,0,0.753,7.92E-03
0,0,0,0.633,7.28E-03
16.6,0,0,1.41,0.628
3.9,0,0,1.03,0.548
0.719,0,0,1.35,0.377
0,0,0,0.485,0.263
0,0,0,0.333,0.185
9.37E-02,0,0,0.801,0.131
0,0,0,0.844,9.19E-02
0,0,0,0.967,6.45E-02
